PropertyMedianID,Suburb,PropertyMedian,UpdatedYear
1,ADELAIDE,792500,2016
2,NORTH ADELAIDE,1050000,2016
3,ALDGATE,710000,2016
4,ASHTON,,2016
5,BASKET RANGE,,2016
6,BELAIR,555000,2016
7,BRADBURY,,2016
8,BRIDGEWATER,470000,2016
9,CAREY GULLY,,2016
10,CASTAMBUL,,2016
11,CHERRYVILLE,,2016
12,CLELAND,,2016
13,CRAFERS,640500,2016
14,CRAFERS WEST,537575,2016
15,DORSET VALE,,2016
16,GREENHILL,520000,2016
17,HEATHFIELD,470000,2016
18,HORSNELL GULLY,,2016
19,HUMBUG SCRUB,,2016
20,IRONBANK,1000000,2016
21,LONGWOOD,,2016
22,MARBLE HILL,,2016
23,MONTACUTE,,2016
24,MOUNT GEORGE,,2016
25,MYLOR,380000,2016
26,NORTON SUMMIT,,2016
27,PICCADILLY,,2016
28,ROSTREVOR,548000,2016
29,SCOTT CREEK,,2016
30,STIRLING,785000,2016
31,STONYFELL,761000,2016
32,SUMMERTOWN,525000,2016
33,TERINGIE,,2016
34,UPPER STURT,519500,2016
35,URAIDLA,518000,2016
36,WATERFALL GULLY,,2016
37,WOODFORDE,855000,2016
38,AULDANA,862500,2016
39,BEAUMONT,1300000,2016
40,BEULAH PARK,750000,2016
41,BURNSIDE,875000,2016
42,DULWICH,975000,2016
43,EASTWOOD,660000,2016
44,ERINDALE,1156000,2016
45,FREWVILLE,708888,2016
46,GLEN OSMOND,1250000,2016
47,GLENSIDE,1120000,2016
48,GLENUNGA,910000,2016
49,HAZELWOOD PARK,986500,2016
50,HORSNELL GULLY,,2016
51,KENSINGTON GARDENS,1175000,2016
52,KENSINGTON PARK,800000,2016
53,LEABROOK,990000,2016
54,LEAWOOD GARDENS,,2016
55,LINDEN PARK,740000,2016
56,MAGILL,605000,2016
57,MOUNT OSMOND,1216000,2016
58,ROSE PARK,1320000,2016
59,ROSSLYN PARK,890000,2016
60,SKYE,,2016
61,ST GEORGES,795000,2016
62,STONYFELL,761000,2016
63,TOORAK GARDENS,1230000,2016
64,TUSMORE,1300001,2016
65,WATERFALL GULLY,,2016
66,WATTLE PARK,771000,2016
67,ATHELSTONE,575000,2016
68,CAMPBELLTOWN,541000,2016
69,HECTORVILLE,550000,2016
70,MAGILL,605000,2016
71,NEWTON,506750,2016
72,PARADISE,505000,2016
73,ROSTREVOR,548000,2016
74,TRANMERE,654000,2016
75,ALBERT PARK,615000,2016
76,ALLENBY GARDENS,572000,2016
77,ATHOL PARK,380500,2016
78,BEVERLEY,461250,2016
79,BOWDEN,,2016
80,BROMPTON,469000,2016
81,CHELTENHAM,428000,2016
82,CROYDON,521500,2016
83,DEVON PARK,,2016
84,FINDON,480750,2016
85,FLINDERS PARK,498000,2016
86,FULHAM GARDENS,578750,2016
87,GRANGE,685000,2016
88,HENDON,400000,2016
89,HENLEY BEACH,800000,2016
90,HENLEY BEACH SOUTH,860000,2016
91,HINDMARSH,,2016
92,KIDMAN PARK,637500,2016
93,KILKENNY,395000,2016
94,OVINGHAM,,2016
95,PENNINGTON,383750,2016
96,RENOWN PARK,450000,2016
97,RIDLEYTON,535500,2016
98,ROSEWATER,340000,2016
99,ROYAL PARK,378000,2016
100,SEATON,468000,2016
101,SEMAPHORE PARK,484500,2016
102,ST CLAIR,583500,2016
103,TENNYSON,1662500,2016
104,WELLAND,515000,2016
105,WEST BEACH,810000,2016
106,WEST CROYDON,551500,2016
107,WEST HINDMARSH,467500,2016
108,WEST LAKES,682500,2016
109,WEST LAKES SHORE,595000,2016
110,WOODVILLE,652000,2016
111,WOODVILLE NORTH,375000,2016
112,WOODVILLE PARK,705000,2016
113,WOODVILLE SOUTH,473000,2016
114,WOODVILLE WEST,490000,2016
115,BIBARINGA,,2016
116,EVANSTON,271500,2016
117,EVANSTON GARDENS,310650,2016
118,EVANSTON PARK,371000,2016
119,EVANSTON SOUTH,355000,2016
120,GAWLER,,2016
121,GAWLER EAST,368750,2016
122,GAWLER SOUTH,350000,2016
123,GAWLER WEST,267500,2016
124,HILLIER,,2016
125,KUDLA,,2016
126,REID,,2016
127,ULEYBURY,,2016
128,WILLASTON,290000,2016
129,BRIGHTON,717000,2016
130,GLENELG,940000,2016
131,GLENELG EAST,760000,2016
132,GLENELG NORTH,553000,2016
133,GLENELG SOUTH,930000,2016
134,HOVE,635000,2016
