RentalMedianID,Postcode,Suburb,City,State,StateCode,1 BR Flat,2 BR Flat,3 BR Flat,4 BR Flat,1 BR House,2 BR House,3 BR House,4 BR House
1,5000,Adelaide,Adelaide,South Australia,SA,305,450,550,,162.5,425,450,452.5
2,5001,Adelaide,Adelaide,South Australia,SA,305,450,550,,162.5,425,450,452.5
3,5159,Aberfoyle Park,Adelaide,South Australia,SA,,320,370,,,380,345,425
4,5000,City West Campus,Adelaide,South Australia,SA,,,,,,,,
5,5000,Halifax Street,Adelaide,South Australia,SA,,,,,,,,
6,5014,Albert Park,Adelaide,South Australia,SA,205.5,259.2,,,,275,350,390
7,5000,Hutt Street,Adelaide,South Australia,SA,,,,,,,,
8,5014,Alberton,Adelaide,South Australia,SA,210,277.5,,,,,347.5,450
9,5000,Parliament House,Adelaide,South Australia,SA,,,,,,,,
10,5173,Aldinga,Adelaide,South Australia,SA,,235,,,280,250,325,355
11,5000,Rundle Mall,Adelaide,South Australia,SA,,,,,,,,
12,5173,Aldinga Beach,Adelaide,South Australia,SA,,240,320,,,270,325,380
13,5000,Station Arcade,Adelaide,South Australia,SA,,,,,,,,
14,5009,Allenby Gardens,Adelaide,South Australia,SA,,290,320,,,370,380,482.5
15,5000,Sturt Street,Adelaide,South Australia,SA,,,,,,,,
16,5114,Andrews Farm,Adelaide,South Australia,SA,,194,290,,212.5,202,290,335
17,5010,Angle Park,Adelaide,South Australia,SA,230,240,,,,97.87,215,
18,5005,Adelaide University,Adelaide,South Australia,SA,,,,,,,,
19,5117,Angle Vale,Adelaide,South Australia,SA,,,,,,,350,
20,5005,The University Of Adelaide,Adelaide,South Australia,SA,,,,,,,,
21,5043,Ascot Park,Adelaide,South Australia,SA,220,281.25,320,395,176,,365,475
22,5005,University Of Adelaide,Adelaide,South Australia,SA,,,,,,,,
23,5035,Ashford,Adelaide,South Australia,SA,,297.5,380,,,425,460,412.5
24,5006,North Adelaide,Adelaide,South Australia,SA,310,360,480,,372.5,395,570,782.5
25,5076,Athelstone,Adelaide,South Australia,SA,,320,345,,,320,397.5,550
26,5006,North Adelaide Melbourne St,Adelaide,South Australia,SA,,340,,,,,,
27,5012,Athol Park,Adelaide,South Australia,SA,,300,345,,,155.45,382.5,
28,5007,Bowden,Adelaide,South Australia,SA,253,395,352.1,,260,252.8,416,
29,5072,Auldana,Adelaide,South Australia,SA,,,,,,,420,
30,5007,Brompton,Adelaide,South Australia,SA,,360,395,,335,360,422.5,532.5
